Date,CNY
2025/07/07,0.0052463144640889775
2025/07/04,0.0052537564358516335
2025/07/03,0.0052578999947421
2025/07/02,0.00527203711514129
2025/07/01,0.005292405398253507
2025/06/30,0.005287088928835783
2025/06/27,0.005270369979972594
2025/06/26,0.005284015852047556
2025/06/25,0.005261496369567505
2025/06/24,0.005273983439691999
2025/06/23,0.0051770552909505075
2025/06/20,0.005251273433807698
2025/06/19,0.005207790855119258
2025/06/18,0.005225479437738412
2025/06/17,0.00526094276094276
2025/06/16,0.005281504172388296
2025/06/13,0.005241639584862145
2025/06/12,0.005300821627352239
2025/06/11,0.005224933382099378
2025/06/10,0.005257623554153523
2025/06/09,0.0052943667937314694
2025/06/06,0.005283736658564938
2025/06/05,0.005289046384936796
2025/06/04,0.005261219550691851
2025/06/03,0.005220841599665866
2025/06/02,0.00522930502536213
2025/05/30,0.005218934293617243
2025/05/29,0.005228484785109276
2025/05/28,0.00523752160477662
2025/05/27,0.005235876223886067
2025/05/26,0.005247966413014956
2025/05/23,0.005219206680584551
2025/05/22,0.005214036185411127
2025/05/21,0.005237795935470355
2025/05/20,0.005176787285810426
2025/05/19,0.00519318653926049
2025/05/16,0.005159958720330237
2025/05/15,0.0051580956310930005
2025/05/14,0.005155170636148057
2025/05/13,0.005055611729019211
2025/05/12,0.005075884472869397
2025/05/09,0.005170363476552402
2025/05/08,0.00517464424320828
2025/05/07,0.005193725979017347
2025/05/06,0.005225752508361204
2025/05/05,0.005302508086324832
2025/05/02,0.005202372281760482
2025/04/30,0.005105948429920858
2025/04/29,0.005065856129685917
2025/04/28,0.005052801778586226
2025/04/25,0.00506303478304896
2025/04/24,0.005078720162519045
2025/04/23,0.005125051250512505
2025/04/22,0.0051316262123466926
2025/04/17,0.005151983513652756
2025/04/16,0.005152248956669586
2025/04/15,0.0051266277042961135
2025/04/14,0.0051440329218107
2025/04/11,0.005098399102681758
2025/04/10,0.005030434126465114
2025/04/09,0.004977105315548477
2025/04/08,0.004964257347100874
2025/04/07,0.004989273062914733
2025/04/04,0.005028916268544129
2025/04/03,0.00501002004008016
2025/04/02,0.004972403162448411
2025/04/01,0.0049375401175134545
2025/03/31,0.004918839153959665
2025/03/28,0.004947066389630949
2025/03/27,0.004959087527894868
2025/03/26,0.0049581040210223614
2025/03/25,0.0049504950495049506
2025/03/24,0.004943642475776152
2025/03/21,0.004949759936643073
2025/03/20,0.004929751047572098
2025/03/19,0.004955892556249381
2025/03/18,0.004973145016908692
2025/03/17,0.004994755506717946
2025/03/14,0.004979583706802112
2025/03/13,0.004975371909050202
2025/03/12,0.004988277547762757
2025/03/11,0.004974876871797423
2025/03/10,0.004985541928407618
2025/03/07,0.0050025012506253125
2025/03/06,0.005004504053648284
2025/03/05,0.005006007208650381
2025/03/04,0.004984299456711359
2025/03/03,0.004997501249375313
2025/02/28,0.00498603909054647
2025/02/27,0.005035246727089627
2025/02/26,0.005060216577269507
2025/02/25,0.005064060363599534
2025/02/24,0.005077173030056864
2025/02/21,0.005061753391374772
2025/02/20,0.005051780752715332
2025/02/19,0.005051780752715332
2025/02/18,0.005049229992426155
2025/02/17,0.00503119339907426
2025/02/14,0.005044136191677175
2025/02/13,0.005029169181251257
